,L-1,L-2,L-3,L-4,L-5,L-6,L-7,L-8,L-9,L-10,L-11,L-12,L-13,L-14,L-15,L-16,L-17,L-18,L-19,L-20,L-21,L-22,L-23,L-24,L-25,L-26,L-27,L-28,L-29,L-30,L-31,L-32,L-33,L-34,L-35,L-36,L-37,L-38,L-39,L-40,L-41,L-42,L-43,L-44,L-45,L-46,L-47,L-48,L-49,L-50,L-51,L-52,L-53,L-54,L-55,L-56,L-57,L-58,L-59,L-60,L-61,L-62,L-63,L-64,L-65,L-66,L-67,L-68,L-69,L-70,L-76,L-77,L-78,L-79,L-80,L-81,L-82,L-83,L-84
MolLogP,1.083,0.676,-0.1063999999999999,2.749999999999999,1.5399999999999998,3.3668400000000007,4.7876,1.9144,2.1612000000000005,2.1612000000000005,3.327400000000001,3.306400000000001,5.056400000000003,3.498400000000002,6.090400000000005,3.9836800000000014,3.980400000000003,2.8891,3.028200000000001,2.332200000000001,3.028200000000001,2.3322000000000003,2.8891,3.3668400000000007,5.133600000000003,2.2362,3.498400000000002,3.8824000000000014,3.253400000000001,2.4828,4.417000000000003,3.812000000000002,4.725420000000003,5.435800000000003,3.999200000000002,4.425600000000004,5.358800000000004,5.033840000000004,6.454600000000004,4.434200000000003,4.379600000000004,4.6952000000000025,3.828200000000004,3.581400000000001,3.828200000000003,5.650680000000006,4.421700000000003,3.5814000000000004,6.723400000000006,5.056400000000003,5.570200000000003,4.549000000000003,1.997,4.229500000000003,2.4862,6.084000000000005,4.874000000000002,3.303400000000001,5.992200000000005,5.666200000000004,6.700840000000006,5.513400000000004,10.696799999999993,3.8374000000000015,5.071080000000004,3.672600000000002,5.490840000000004,1.90404,4.289440000000003,7.386000000000005,3.8826000000000023,6.189000000000006,9.60152,9.348399999999996,9.965239999999993,10.582079999999989,9.365599999999995,8.759599999999997,6.734800000000004
Chi4v,0.7553818294955934,0.5677650650655474,6.383096475515412,1.610509876462998,1.343778453186231,2.19780060019698,2.293359878965355,1.882077672314079,1.7848644750798954,1.7841128608806085,2.402641795671689,1.888217377704143,3.4408620885705363,1.5177564141026083,3.6792656712982224,2.935044489135094,3.084663815342808,1.674613211115797,1.7493636270835704,1.751012468307367,1.7362245739407576,1.742308490273472,1.6733672252018774,2.19780060019698,4.084202478510661,1.511796366232907,1.4568176160078246,3.333216724584882,1.6660654320185535,1.53661393096732,2.465637923430401,2.324206992737884,2.764747623220155,2.807692870779991,2.602799650472316,2.7068865015054158,2.683850384181234,3.0229206408329325,3.131140235321863,2.9336249628517765,2.9009121729047846,2.5740051671408897,2.6239814165298507,2.729235151051349,2.6392409078480106,3.737468434121019,3.4909052268216905,2.7245767225894144,4.309370024902124,3.116657220332716,3.387254679826943,3.5356818453207506,1.9841349207790613,2.700303814765733,1.59911393096732,3.3207659703978067,3.042792982296685,3.1343442743960352,3.559115637277671,3.457927697439721,3.918985369977313,3.719192424379068,6.976463686134337,4.849833912600812,5.926171571196341,4.092368699388362,3.650599946199498,4.490070645222274,4.700175663291176,5.239383306673456,2.3178460324390464,4.059370024902125,5.815975682365877,8.626886621727271,9.168074971018278,9.92204815469385,9.080082047454962,8.780418193574338,7.243138505484392
Kappa3,1.6018929516714049,1.3728506132569882,0.2147868666675833,2.3757121560584267,2.32004326663061,2.5407296186026467,3.7866588114427007,2.3926906137003554,2.3926906137003554,2.3926906137003554,2.809025422687203,2.6240023442911187,2.396791207195928,3.2573385503611254,4.346184876693696,2.723306949395212,1.6394992584487436,2.5981091093602364,2.488474221198953,2.546422790387043,2.488474221198953,2.546422790387043,2.5981091093602364,2.5407296186026467,1.7286734174421807,1.7248850530178166,3.2573385503611254,3.785530130240554,3.3228539229536045,3.238713659784499,3.1748198108840846,3.1480997587960067,3.4273891966759007,3.8789879221052295,3.350843214500572,3.417251508839395,3.783838187434948,3.350478416230589,4.583283557988933,3.661707843396309,3.485959126691465,3.2993203188115547,3.2052340696613344,3.2052340696613344,3.2052340696613344,3.291418297144428,3.043785479370097,3.076264128494943,3.1863863119233664,2.777131544445952,3.11978217382545,3.981065088757396,3.068526842028152,3.368573078000435,3.995086923658352,3.9810109579583552,3.9288852556480394,3.9288852556480394,4.472169668685302,4.159558951762247,4.161997268030949,3.4361263341028483,4.230096627816451,3.0679340618488555,3.380248134409368,3.517986331947767,4.111465023442192,3.1158173117495367,3.7299919884633854,4.564915044468404,4.878418079285212,4.398638152970464,5.35926751054282,4.083823037471917,4.302069669965296,4.520617625224394,4.547936751813907,4.212427054365414,3.3969291223028617
Number of Aromatic Rings,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0
Number of Rotatable Bonds,2.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,6.0,7.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,6.0,4.0,8.0,4.0,4.0,6.0,6.0,6.0,8.0,4.0,6.0,4.0,3.0,4.0,10.0,4.0,5.0,2.0,5.0,5.0,5.0,6.0,6.0,7.0,4.0,5.0,4.0,8.0,4.0,7.0,6.0,6.0,4.0,2.0,2.0,12.0,4.0,6.0,8.0,8.0,6.0,4.0
Number of H,6.0,4.0,8.0,10.0,8.0,14.0,8.0,12.0,10.0,10.0,10.0,6.0,14.0,10.0,20.0,18.0,10.0,9.0,8.0,11.0,8.0,11.0,9.0,14.0,12.0,8.0,10.0,10.0,12.0,10.0,14.0,13.0,16.0,13.0,15.0,16.0,13.0,18.0,12.0,18.0,14.0,12.0,14.0,16.0,14.0,22.0,12.0,16.0,18.0,14.0,16.0,24.0,10.0,14.0,10.0,18.0,16.0,18.0,17.0,19.0,22.0,16.0,26.0,14.0,22.0,20.0,20.0,16.0,24.0,22.0,14.0,18.0,34.0,14.0,18.0,22.0,18.0,14.0,18.0
Number of O,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,10.0,10.0,8.0
Number of N,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
Number of S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of Halogens,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0
